CERCID	Order	BGD	LGD	POD
CERC440	3	Virtue	NA	Morality
CERC440	4	NA	NA	Miscellaneous
CERC440	5	NA	NA	Miscellaneous
CERC441	1	Morality	Ecology	Morality
CERC441	2	Morality	NA	Morality
CERC441	3	Morality	NA	Morality
CERC441	4	NA	NA	Morality
CERC441	5	NA	NA	Morality
CERC442	1	Substance Use/Abuse	Ecology	Morality
CERC442	2	Substance Use/Abuse	Ecology	Substance Use/Abuse
CERC442	3	Substance Use/Abuse	Virtue	Substance Use/Abuse
CERC442	4	Morality	Ecology	Etiquette
CERC442	5	NA	NA	Substance Use/Abuse
CERC443	1	Virtue	Ecology	Morality
CERC443	2	Morality	Ecology	Virtue
CERC443	3	Etiquette	NA	Morality
CERC443	4	NA	NA	Virtue
CERC443	5	NA	NA	Virtue
CERC444	1	Religion	Ecology	Morality
CERC444	2	Morality	Religion	NA
CERC444	3	Morality	NA	NA
CERC444	4	Miscellaneous	NA	NA
CERC444	5	NA	NA	NA
CERC445	1	Ecology	Ritual	Morality
CERC445	2	Substance Use/Abuse	Ritual	Miscellaneous
CERC445	3	NA	Ecology	Morality
CERC445	4	NA	NA	NA
CERC445	5	NA	NA	NA
CERC446	1	Morality	Ritual	Morality
CERC446	2	Ecology	Ritual	People
CERC446	3	Morality	NA	Morality
CERC446	4	NA	NA	Substance Use/Abuse
CERC446	5	NA	NA	NA
CERC447	1	Substance Use/Abuse	Substance Use/Abuse	Virtue
CERC447	2	Substance Use/Abuse	Morality	Substance Use/Abuse
CERC447	3	Ecology	Etiquette	Morality
CERC447	4	Morality	NA	Miscellaneous
CERC447	5	NA	NA	Morality
CERC448	1	Miscellaneous	Ecology	Substance Use/Abuse
CERC448	2	NA	NA	Substance Use/Abuse
CERC448	3	NA	NA	People
CERC448	4	NA	NA	Morality
CERC448	5	NA	NA	Etiquette
CERC449	1	Morality	Ecology	Virtue
CERC449	2	Morality	NA	Virtue
CERC449	3	Virtue	NA	Morality
CERC449	4	NA	NA	NA
CERC449	5	NA	NA	NA
CERC450	1	Substance Use/Abuse	Morality	Virtue
CERC450	2	Substance Use/Abuse	NA	NA
CERC450	3	Substance Use/Abuse	NA	NA
CERC450	4	NA	NA	NA
CERC450	5	NA	NA	NA
CERC451	1	NA	NA	NA
CERC451	2	NA	NA	NA
CERC451	3	NA	NA	NA
CERC451	4	NA	NA	NA
CERC451	5	NA	NA	NA
CERC452	1	Virtue	Ecology	Morality
CERC452	2	Morality	Ecology	Substance Use/Abuse
CERC452	3	Morality	NA	Morality
CERC452	4	Ritual	NA	Morality
CERC452	5	Ritual	NA	Miscellaneous
CERC452	6	NA	NA	NA
CERC453	1	Virtue	Ecology	Morality
CERC453	2	Ecology	NA	NA
CERC453	3	NA	NA	NA
CERC453	4	NA	NA	NA
CERC453	5	NA	NA	NA
CERC454	1	Virtue	Ecology	Miscellaneous
CERC454	2	Substance Use/Abuse	NA	Morality
CERC454	3	Virtue	NA	People
CERC454	4	NA	NA	Miscellaneous
CERC454	5	NA	NA	Morality
CERC455	1	Miscellaneous	Ecology	Virtue
CERC455	2	NA	NA	Virtue
CERC455	3	NA	NA	Morality
CERC455	4	NA	NA	Morality
CERC455	5	NA	NA	Virtue
CERC456	1	NA	NA	NA
CERC456	2	NA	NA	NA
CERC456	3	NA	NA	NA
CERC456	4	NA	NA	NA
CERC456	5	NA	NA	NA
CERC457	1	Morality	Ritual	D/K
CERC457	2	Morality	NA	NA
CERC457	3	NA	NA	NA
CERC457	4	NA	NA	NA
CERC457	5	NA	NA	NA
CERC458	1	Morality	Virtue	NA
CERC458	2	Morality	Morality	NA
CERC458	3	Virtue	Morality	NA
CERC458	4	NA	Virtue	NA
CERC458	5	NA	NA	NA
CERC459	1	Morality	Ecology	Morality
CERC459	2	Morality	Ritual	Morality
CERC459	3	Morality	Substance Use/Abuse	Virtue
CERC459	4	Virtue	NA	NA
CERC459	5	Morality	NA	NA
CERC460	1	Morality	Ecology	Substance Use/Abuse
CERC460	2	Virtue	Ecology	Substance Use/Abuse
CERC460	3	Ecology	NA	Morality
CERC460	4	NA	NA	NA
CERC460	5	NA	NA	Morality
CERC461	1	Morality	Ecology	D/K
CERC461	2	Virtue	Virtue	NA
CERC461	3	NA	NA	NA
CERC461	4	NA	NA	NA
CERC461	5	NA	NA	NA
CERC462	1	NA	NA	NA
CERC462	2	NA	NA	NA
CERC462	3	NA	NA	NA
CERC462	4	NA	NA	NA
CERC462	5	NA	NA	NA
CERC463	1	Morality	Religion	Virtue
CERC463	2	NA	NA	Substance Use/Abuse
CERC463	3	NA	NA	Virtue
CERC463	4	NA	NA	Morality
CERC463	5	NA	NA	Miscellaneous
CERC464	1	D/K	NA	Morality
CERC464	2	NA	NA	Miscellaneous
CERC464	3	NA	NA	NA
CERC464	4	NA	NA	NA
CERC464	5	NA	NA	NA
CERC465	1	Morality	Ritual	Substance Use/Abuse
CERC465	2	Morality	Ecology	Morality
CERC465	3	Substance Use/Abuse	NA	Substance Use/Abuse
CERC465	4	NA	NA	Morality
CERC465	5	NA	NA	Miscellaneous
CERC466	1	Miscellaneous	Morality	Morality
CERC466	2	NA	Ecology	Substance Use/Abuse
CERC466	3	NA	NA	Morality
CERC466	4	NA	NA	NA
CERC466	5	NA	NA	NA
CERC467	1	Ritual	Ecology	Morality
CERC467	2	Morality	NA	Substance Use/Abuse
CERC467	3	Substance Use/Abuse	NA	Substance Use/Abuse
CERC467	4	NA	NA	NA
CERC467	5	NA	NA	NA
CERC468	1	Miscellaneous	Miscellaneous	Substance Use/Abuse
CERC468	2	NA	NA	Morality
CERC468	3	NA	NA	NA
CERC468	4	NA	NA	NA
CERC468	5	NA	NA	NA
CERC469	1	Virtue	Ecology	Morality
CERC469	2	Morality	Morality	Morality
CERC469	3	Morality	Ritual	Morality
CERC469	4	NA	NA	Morality
CERC469	5	NA	NA	Virtue
CERC470	1	Religion	Ecology	Substance Use/Abuse
CERC470	2	Religion	Ritual	Miscellaneous
CERC470	3	NA	NA	Morality
CERC470	4	NA	NA	NA
CERC470	5	NA	NA	NA
CERC471	1	Virtue	Ecology	Morality
CERC471	2	NA	Miscellaneous	Morality
CERC471	3	NA	NA	Morality
CERC471	4	NA	NA	Morality
CERC471	5	NA	NA	Morality
CERC472	1	Virtue	Miscellaneous	Virtue
CERC472	2	NA	Miscellaneous	Morality
CERC472	3	NA	NA	Morality
CERC472	4	NA	NA	Miscellaneous
CERC472	5	NA	NA	Miscellaneous
CERC473	1	Miscellaneous	Ritual	Morality
CERC473	2	NA	Ritual	People
CERC473	3	NA	NA	NA
CERC473	4	NA	NA	NA
CERC473	5	NA	NA	NA
CERC474	1	Morality	Ecology	Morality
CERC474	2	Morality	Ritual	Morality
CERC474	3	Morality	NA	Etiquette
CERC474	4	Morality	NA	Morality
CERC474	5	Morality	NA	Etiquette
CERC475	1	Ecology	Ecology	People
CERC475	2	NA	Ecology	Morality
CERC475	3	NA	NA	Miscellaneous
CERC475	4	NA	NA	Morality
CERC475	5	NA	NA	Miscellaneous
CERC476	1	Morality	Morality	Morality
CERC476	2	Virtue	Morality	Morality
CERC476	3	NA	NA	Miscellaneous
CERC476	4	NA	NA	NA
CERC476	5	NA	NA	NA
CERC478	1	Morality	Religion	Morality
CERC478	3	Substance Use/Abuse	NA	NA
CERC478	2	Miscellaneous	Religion	People
CERC478	4	NA	NA	NA
CERC478	5	NA	NA	NA
CERC479	1	Morality	Ecology	Miscellaneous
CERC479	2	Morality	Ecology	People
CERC479	3	Virtue	Ecology	Morality
CERC479	4	NA	NA	Miscellaneous
CERC479	5	NA	NA	NA
CERC480	1	Morality	Ecology	Morality
CERC480	2	Morality	Ecology	Substance Use/Abuse
CERC480	3	NA	Ecology	Morality
CERC480	4	NA	NA	NA
CERC480	5	NA	NA	NA
CERC481	1	Morality	Ecology	Morality
CERC481	2	Etiquette	NA	Virtue
CERC481	3	NA	NA	Virtue
CERC481	4	NA	NA	Morality
CERC481	5	NA	NA	NA
CERC482	1	NA	NA	NA
CERC482	2	NA	NA	NA
CERC482	3	NA	NA	NA
CERC482	4	NA	NA	NA
CERC482	5	NA	NA	NA
CERC483	1	Morality	Morality	Morality
CERC483	2	Morality	Substance Use/Abuse	Morality
CERC483	3	Substance Use/Abuse	Morality	Virtue
CERC483	4	Morality	NA	Morality
CERC483	5	NA	NA	NA
CERC484	1	Morality	Ecology	Morality
CERC484	2	Morality	NA	Substance Use/Abuse
CERC484	3	Morality	NA	Morality
CERC484	4	NA	NA	People
CERC484	5	NA	NA	Virtue
CERC485	1	Morality	Ecology	Substance Use/Abuse
CERC485	2	Virtue	Ecology	Morality
CERC485	3	NA	Ecology	People
CERC485	4	NA	Virtue	Morality
CERC485	5	NA	NA	Morality
CERC486	1	NA	NA	NA
CERC486	2	NA	NA	NA
CERC486	3	NA	NA	NA
CERC486	4	NA	NA	NA
CERC486	5	NA	NA	NA
CERC487	1	Morality	Ecology	People
CERC487	2	Virtue	Ritual	Morality
CERC487	3	Morality	Ritual	Morality
CERC487	4	Morality	NA	Substance Use/Abuse
CERC487	5	Miscellaneous	NA	Morality
CERC488	1	Morality	Ecology	Morality
CERC488	2	NA	Ritual	Morality
CERC488	3	NA	NA	Morality
CERC488	4	NA	NA	Morality
CERC488	5	NA	NA	Miscellaneous
CERC489	1	Morality	Ecology	Morality
CERC489	2	Morality	NA	Substance Use/Abuse
CERC489	3	NA	NA	NA
CERC489	4	NA	NA	NA
CERC489	5	NA	NA	NA
CERC490	1	Morality	Ecology	Morality
CERC490	2	Morality	Ecology	Substance Use/Abuse
CERC490	3	Etiquette	Ecology	Etiquette
CERC490	4	Substance Use/Abuse	Etiquette	Morality
CERC490	5	NA	NA	NA
CERC491	1	Morality	Ecology	Virtue
CERC491	2	Virtue	Ecology	Substance Use/Abuse
CERC491	3	NA	Ecology	Miscellaneous
CERC491	4	NA	Ecology	Morality
CERC491	5	NA	NA	NA
CERC492	1	Virtue	Ecology	Substance Use/Abuse
